frase,situacao
"sinto dor intensa no peito acompanhada de suor frio",alto risco
"tive um leve incômodo nas costas após trabalhar sentado",baixo risco
"falta de ar súbita e dor que irradia para o braço esquerdo",alto risco
"leve dor de cabeça que melhora com descanso",baixo risco
"palpitações fortes e tontura quando tento subir escadas",alto risco
"leve formigamento nas mãos depois de digitar por horas",baixo risco
"pressão no peito e dificuldade para respirar ao caminhar",alto risco
"desconforto abdominal leve depois do almoço",baixo risco
"inchaço repentino nas pernas junto com falta de ar",alto risco
"nariz entupido e tosse leve devido a resfriado",baixo risco
"dor no peito que piora com esforço e suor frio",alto risco
"cansaço moderado após treinar mais do que o habitual",baixo risco
"desmaio acompanhado de visão turva e palpitações",alto risco
"leve enjoo depois de comer rápido demais",baixo risco
"pressão arterial muito alta e dor latejante na nuca",alto risco
"tosse passageira irritando a garganta",baixo risco
"dor torácica, falta de ar e náuseas constantes",alto risco
"pontadas rápidas no peito que passam em segundos",baixo risco
"aperto no peito durante a noite e sensação de desmaio",alto risco
"cólica leve que melhora com repouso",baixo risco
